Time;IP_SRC;IP_DST;IP_TTL;IP_LEN;TCP_SPORT;TCP_DPORT;TCP_SEQ;TCP_ACK;TIME_ORIGEM;TIME_DELTA;ARQUIVO;TESTE;ALGORITMO;LOTE
1659669831.14533901215;10.1.1.1;10.2.1.1;59;500;54321;1234;100;0;1659669831.12124490738;0.02409410477;purr2.log;purr2;purr;142390
1659669831.18434906006;10.1.1.1;10.2.1.1;59;500;54321;1234;101;0;1659669831.15491890907;0.02943015099;purr2.log;purr2;purr;142390
1659669831.24760198593;10.1.1.1;10.2.1.1;59;500;54321;1234;102;0;1659669831.18737411499;0.06022787094;purr2.log;purr2;purr;142390
1659669831.29803895950;10.1.1.1;10.2.1.1;59;500;54321;1234;103;0;1659669831.24942302704;0.04861593246;purr2.log;purr2;purr;142390
1659669831.33219408989;10.1.1.1;10.2.1.1;59;500;54321;1234;104;0;1659669831.29953789711;0.03265619278;purr2.log;purr2;purr;142390
1659669831.38356399536;10.1.1.1;10.2.1.1;59;500;54321;1234;105;0;1659669831.33642506599;0.04713892937;purr2.log;purr2;purr;142390
1659669831.41448807716;10.1.1.1;10.2.1.1;59;500;54321;1234;106;0;1659669831.38662600517;0.02786207199;purr2.log;purr2;purr;142390
1659669831.45813202858;10.1.1.1;10.2.1.1;59;500;54321;1234;107;0;1659669831.42125201225;0.03688001633;purr2.log;purr2;purr;142390
1659669831.49942088127;10.1.1.1;10.2.1.1;59;500;54321;1234;108;0;1659669831.46023607254;0.03918480873;purr2.log;purr2;purr;142390
1659669831.54446291924;10.1.1.1;10.2.1.1;59;500;54321;1234;109;0;1659669831.50212192535;0.04234099388;purr2.log;purr2;purr;142390
1659669831.60385489464;10.1.1.1;10.2.1.1;59;500;54321;1234;110;0;1659669831.54706811905;0.05678677559;purr2.log;purr2;purr;142390
1659669831.65420103073;10.1.1.1;10.2.1.1;59;500;54321;1234;111;0;1659669831.60715889931;0.04704213142;purr2.log;purr2;purr;142390
1659669831.71092104912;10.1.1.1;10.2.1.1;59;500;54321;1234;112;0;1659669831.65683603287;0.05408501625;purr2.log;purr2;purr;142390
1659669831.74903011322;10.1.1.1;10.2.1.1;59;500;54321;1234;113;0;1659669831.71347308159;0.03555703163;purr2.log;purr2;purr;142390
1659669831.82273006439;10.1.1.1;10.2.1.1;59;500;54321;1234;114;0;1659669831.75674796104;0.06598210335;purr2.log;purr2;purr;142390
1659669831.86078310013;10.1.1.1;10.2.1.1;59;500;54321;1234;115;0;1659669831.82605504990;0.03472805023;purr2.log;purr2;purr;142390
1659669831.91262292862;10.1.1.1;10.2.1.1;59;500;54321;1234;116;0;1659669831.86783099174;0.04479193687;purr2.log;purr2;purr;142390
1659669831.95222592354;10.1.1.1;10.2.1.1;59;500;54321;1234;117;0;1659669831.91557192802;0.03665399551;purr2.log;purr2;purr;142390
1659669832.02422499657;10.1.1.1;10.2.1.1;59;500;54321;1234;118;0;1659669831.95890808105;0.06531691551;purr2.log;purr2;purr;142390
1659669832.06472706795;10.1.1.1;10.2.1.1;59;500;54321;1234;119;0;1659669832.03068494797;0.03404211998;purr2.log;purr2;purr;142390
1659669832.11163902283;10.1.1.1;10.2.1.1;59;500;54321;1234;120;0;1659669832.06876397133;0.04287505150;purr2.log;purr2;purr;142390
1659669832.14840793610;10.1.1.1;10.2.1.1;59;500;54321;1234;121;0;1659669832.11892604828;0.02948188782;purr2.log;purr2;purr;142390
1659669832.19705200195;10.1.1.1;10.2.1.1;59;500;54321;1234;122;0;1659669832.15151500702;0.04553699493;purr2.log;purr2;purr;142390
1659669832.24729704857;10.1.1.1;10.2.1.1;59;500;54321;1234;123;0;1659669832.19959807396;0.04769897461;purr2.log;purr2;purr;142390
1659669832.30197596550;10.1.1.1;10.2.1.1;59;500;54321;1234;124;0;1659669832.24989390373;0.05208206177;purr2.log;purr2;purr;142390
1659669832.33022499084;10.1.1.1;10.2.1.1;59;500;54321;1234;125;0;1659669832.30293798447;0.02728700638;purr2.log;purr2;purr;142390
1659669832.35720205307;10.1.1.1;10.2.1.1;59;500;54321;1234;126;0;1659669832.33746290207;0.01973915100;purr2.log;purr2;purr;142390
1659669832.43937397003;10.1.1.1;10.2.1.1;59;500;54321;1234;127;0;1659669832.36852097511;0.07085299492;purr2.log;purr2;purr;142390
1659669832.50191998482;10.1.1.1;10.2.1.1;59;500;54321;1234;128;0;1659669832.44384193420;0.05807805061;purr2.log;purr2;purr;142390
1659669832.53510808945;10.1.1.1;10.2.1.1;59;500;54321;1234;129;0;1659669832.50371408463;0.03139400482;purr2.log;purr2;purr;142390
1659669832.59328293800;10.1.1.1;10.2.1.1;59;500;54321;1234;130;0;1659669832.53683209419;0.05645084381;purr2.log;purr2;purr;142390
1659669832.63298106194;10.1.1.1;10.2.1.1;59;500;54321;1234;131;0;1659669832.59479403496;0.03818702698;purr2.log;purr2;purr;142390
1659669832.66196298599;10.1.1.1;10.2.1.1;59;500;54321;1234;132;0;1659669832.63494491577;0.02701807022;purr2.log;purr2;purr;142390
1659669832.74527502060;10.1.1.1;10.2.1.1;59;500;54321;1234;133;0;1659669832.66374611855;0.08152890205;purr2.log;purr2;purr;142390
1659669832.76869797707;10.1.1.1;10.2.1.1;59;500;54321;1234;134;0;1659669832.74284005165;0.02585792542;purr2.log;purr2;purr;142390
1659669832.80329298973;10.1.1.1;10.2.1.1;59;500;54321;1234;135;0;1659669832.77655696869;0.02673602104;purr2.log;purr2;purr;142390
1659669832.84259605408;10.1.1.1;10.2.1.1;59;500;54321;1234;136;0;1659669832.81223106384;0.03036499023;purr2.log;purr2;purr;142390
1659669832.88472700119;10.1.1.1;10.2.1.1;59;500;54321;1234;137;0;1659669832.84889507294;0.03583192825;purr2.log;purr2;purr;142390
1659669832.92393994331;10.1.1.1;10.2.1.1;59;500;54321;1234;138;0;1659669832.89167904854;0.03226089478;purr2.log;purr2;purr;142390
1659669832.96879696846;10.1.1.1;10.2.1.1;59;500;54321;1234;139;0;1659669832.93253207207;0.03626489639;purr2.log;purr2;purr;142390
1659669833.00737094879;10.1.1.1;10.2.1.1;59;500;54321;1234;140;0;1659669832.97956991196;0.02780103683;purr2.log;purr2;purr;142390
1659669833.04422593117;10.1.1.1;10.2.1.1;59;500;54321;1234;141;0;1659669833.01634907722;0.02787685394;purr2.log;purr2;purr;142390
1659669833.07414293289;10.1.1.1;10.2.1.1;59;500;54321;1234;142;0;1659669833.04812192917;0.02602100372;purr2.log;purr2;purr;142390
1659669833.11192798615;10.1.1.1;10.2.1.1;59;500;54321;1234;143;0;1659669833.08401393890;0.02791404724;purr2.log;purr2;purr;142390
1659669833.14709091187;10.1.1.1;10.2.1.1;59;500;54321;1234;144;0;1659669833.12091898918;0.02617192268;purr2.log;purr2;purr;142390
1659669833.18302011490;10.1.1.1;10.2.1.1;59;500;54321;1234;145;0;1659669833.15434002876;0.02868008614;purr2.log;purr2;purr;142390
1659669833.22419095039;10.1.1.1;10.2.1.1;59;500;54321;1234;146;0;1659669833.19543910027;0.02875185013;purr2.log;purr2;purr;142390
1659669833.27464389801;10.1.1.1;10.2.1.1;59;500;54321;1234;147;0;1659669833.23914098740;0.03550291061;purr2.log;purr2;purr;142390
1659669833.32026290894;10.1.1.1;10.2.1.1;59;500;54321;1234;148;0;1659669833.28733491898;0.03292798996;purr2.log;purr2;purr;142390
1659669833.37452697754;10.1.1.1;10.2.1.1;59;500;54321;1234;149;0;1659669833.33143401146;0.04309296608;purr2.log;purr2;purr;142390
1659669833.41164898872;10.1.1.1;10.2.1.1;59;500;54321;1234;150;0;1659669833.38184309006;0.02980589867;purr2.log;purr2;purr;142390
1659669833.44866991043;10.1.1.1;10.2.1.1;59;500;54321;1234;151;0;1659669833.41692590714;0.03174400330;purr2.log;purr2;purr;142390
1659669833.48292303085;10.1.1.1;10.2.1.1;59;500;54321;1234;152;0;1659669833.45697999001;0.02594304085;purr2.log;purr2;purr;142390
1659669833.51623392105;10.1.1.1;10.2.1.1;59;500;54321;1234;153;0;1659669833.48758602142;0.02864789963;purr2.log;purr2;purr;142390
1659669833.55521488190;10.1.1.1;10.2.1.1;59;500;54321;1234;154;0;1659669833.52264809608;0.03256678581;purr2.log;purr2;purr;142390
1659669833.58461308479;10.1.1.1;10.2.1.1;59;500;54321;1234;155;0;1659669833.56061005592;0.02400302887;purr2.log;purr2;purr;142390
1659669833.61790108681;10.1.1.1;10.2.1.1;59;500;54321;1234;156;0;1659669833.59188699722;0.02601408958;purr2.log;purr2;purr;142390
1659669833.64926505089;10.1.1.1;10.2.1.1;59;500;54321;1234;157;0;1659669833.62395596504;0.02530908585;purr2.log;purr2;purr;142390
1659669833.67603707314;10.1.1.1;10.2.1.1;59;500;54321;1234;158;0;1659669833.65535092354;0.02068614960;purr2.log;purr2;purr;142390
1659669833.71489310265;10.1.1.1;10.2.1.1;59;500;54321;1234;159;0;1659669833.68479704857;0.03009605408;purr2.log;purr2;purr;142390
1659669833.74727511406;10.1.1.1;10.2.1.1;59;500;54321;1234;160;0;1659669833.72251605988;0.02475905418;purr2.log;purr2;purr;142390
1659669833.78135490417;10.1.1.1;10.2.1.1;59;500;54321;1234;161;0;1659669833.75230288506;0.02905201912;purr2.log;purr2;purr;142390
1659669833.81992197037;10.1.1.1;10.2.1.1;59;500;54321;1234;162;0;1659669833.79160690308;0.02831506729;purr2.log;purr2;purr;142390
1659669833.85194706917;10.1.1.1;10.2.1.1;59;500;54321;1234;163;0;1659669833.81937789917;0.03256917000;purr2.log;purr2;purr;142390
1659669833.89039802551;10.1.1.1;10.2.1.1;59;500;54321;1234;164;0;1659669833.85731697083;0.03308105469;purr2.log;purr2;purr;142390
1659669833.92021203041;10.1.1.1;10.2.1.1;59;500;54321;1234;165;0;1659669833.89075493813;0.02945709229;purr2.log;purr2;purr;142390
1659669833.95720791817;10.1.1.1;10.2.1.1;59;500;54321;1234;166;0;1659669833.92943501472;0.02777290344;purr2.log;purr2;purr;142390
1659669833.98813891411;10.1.1.1;10.2.1.1;59;500;54321;1234;167;0;1659669833.95915198326;0.02898693085;purr2.log;purr2;purr;142390
1659669834.02054405212;10.1.1.1;10.2.1.1;59;500;54321;1234;168;0;1659669833.99100899696;0.02953505516;purr2.log;purr2;purr;142390
1659669834.05374503136;10.1.1.1;10.2.1.1;59;500;54321;1234;169;0;1659669834.02087903023;0.03286600113;purr2.log;purr2;purr;142390
1659669834.09134006500;10.1.1.1;10.2.1.1;59;500;54321;1234;170;0;1659669834.05517601967;0.03616404533;purr2.log;purr2;purr;142390
1659669834.12830591202;10.1.1.1;10.2.1.1;59;500;54321;1234;171;0;1659669834.09553408623;0.03277182579;purr2.log;purr2;purr;142390
1659669834.16129398346;10.1.1.1;10.2.1.1;59;500;54321;1234;172;0;1659669834.13119196892;0.03010201454;purr2.log;purr2;purr;142390
1659669834.19248008728;10.1.1.1;10.2.1.1;59;500;54321;1234;173;0;1659669834.16341400146;0.02906608582;purr2.log;purr2;purr;142390
1659669834.22835397720;10.1.1.1;10.2.1.1;59;500;54321;1234;174;0;1659669834.19546794891;0.03288602829;purr2.log;purr2;purr;142390
