Time;IP_SRC;IP_DST;IP_TTL;IP_LEN;TCP_SPORT;TCP_DPORT;TCP_SEQ;TCP_ACK;TIME_ORIGEM;TIME_DELTA;ARQUIVO;TESTE;ALGORITMO;LOTE;log
1641343860.51143693924;10.1.1.1;10.2.1.1;59;500;54321;1234;117;0;1641343860.48208999634;0.02934694290;limpo2.log;limpo2;limpo;213611;1112
1641343860.55411291122;10.1.1.1;10.2.1.1;59;500;54321;1234;118;0;1641343860.51795411110;0.03615880013;limpo2.log;limpo2;limpo;213611;1112
1641343860.59589505196;10.1.1.1;10.2.1.1;59;500;54321;1234;119;0;1641343860.56212806702;0.03376698494;limpo2.log;limpo2;limpo;213611;1112
1641343860.63606190681;10.1.1.1;10.2.1.1;59;500;54321;1234;120;0;1641343860.60610890388;0.02995300293;limpo2.log;limpo2;limpo;213611;1112
1641343860.66919398308;10.1.1.1;10.2.1.1;59;500;54321;1234;121;0;1641343860.64593601227;0.02325797081;limpo2.log;limpo2;limpo;213611;1112
1641343860.71563911438;10.1.1.1;10.2.1.1;59;500;54321;1234;122;0;1641343860.68994998932;0.02568912506;limpo2.log;limpo2;limpo;213611;1112
1641343860.75763988495;10.1.1.1;10.2.1.1;59;500;54321;1234;123;0;1641343860.72221302986;0.03542685509;limpo2.log;limpo2;limpo;213611;1112
1641343860.79767489433;10.1.1.1;10.2.1.1;59;500;54321;1234;124;0;1641343860.76996898651;0.02770590782;limpo2.log;limpo2;limpo;213611;1112
1641343860.82633996010;10.1.1.1;10.2.1.1;59;500;54321;1234;125;0;1641343860.80582809448;0.02051186562;limpo2.log;limpo2;limpo;213611;1112
1641343860.86122202873;10.1.1.1;10.2.1.1;59;500;54321;1234;126;0;1641343860.83357000351;0.02765202522;limpo2.log;limpo2;limpo;213611;1112
1641343860.91045594215;10.1.1.1;10.2.1.1;59;500;54321;1234;127;0;1641343860.87382793427;0.03662800789;limpo2.log;limpo2;limpo;213611;1112
1641343860.95022797585;10.1.1.1;10.2.1.1;59;500;54321;1234;128;0;1641343860.92219805717;0.02802991867;limpo2.log;limpo2;limpo;213611;1112
1641343860.98339796066;10.1.1.1;10.2.1.1;59;500;54321;1234;129;0;1641343860.95703697205;0.02636098862;limpo2.log;limpo2;limpo;213611;1112
1641343861.00709199905;10.1.1.1;10.2.1.1;59;500;54321;1234;130;0;1641343860.98902106285;0.01807093620;limpo2.log;limpo2;limpo;213611;1112
1641343861.04582190514;10.1.1.1;10.2.1.1;59;500;54321;1234;131;0;1641343861.02097511292;0.02484679222;limpo2.log;limpo2;limpo;213611;1112
1641343861.07521605492;10.1.1.1;10.2.1.1;59;500;54321;1234;132;0;1641343861.05318903923;0.02202701569;limpo2.log;limpo2;limpo;213611;1112
1641343861.11202406883;10.1.1.1;10.2.1.1;59;500;54321;1234;133;0;1641343861.08498096466;0.02704310417;limpo2.log;limpo2;limpo;213611;1112
1641343861.14823293686;10.1.1.1;10.2.1.1;59;500;54321;1234;134;0;1641343861.12167000771;0.02656292915;limpo2.log;limpo2;limpo;213611;1112
1641343861.18390893936;10.1.1.1;10.2.1.1;59;500;54321;1234;135;0;1641343861.15746688843;0.02644205093;limpo2.log;limpo2;limpo;213611;1112
1641343861.21978306770;10.1.1.1;10.2.1.1;59;500;54321;1234;136;0;1641343861.19349408150;0.02628898621;limpo2.log;limpo2;limpo;213611;1112
1641343861.25626206398;10.1.1.1;10.2.1.1;59;500;54321;1234;137;0;1641343861.22948288918;0.02677917480;limpo2.log;limpo2;limpo;213611;1112
1641343861.29914093018;10.1.1.1;10.2.1.1;59;500;54321;1234;138;0;1641343861.26539301872;0.03374791145;limpo2.log;limpo2;limpo;213611;1112
1641343861.34166598320;10.1.1.1;10.2.1.1;59;500;54321;1234;139;0;1641343861.30905103683;0.03261494637;limpo2.log;limpo2;limpo;213611;1112
1641343861.40218210220;10.1.1.1;10.2.1.1;59;500;54321;1234;140;0;1641343861.35697507858;0.04520702362;limpo2.log;limpo2;limpo;213611;1112
1641343861.44909095764;10.1.1.1;10.2.1.1;59;500;54321;1234;141;0;1641343861.41906189919;0.03002905846;limpo2.log;limpo2;limpo;213611;1112
1641343861.49444508553;10.1.1.1;10.2.1.1;59;500;54321;1234;142;0;1641343861.45791411400;0.03653097153;limpo2.log;limpo2;limpo;213611;1112
1641343861.52491211891;10.1.1.1;10.2.1.1;59;500;54321;1234;143;0;1641343861.50000190735;0.02491021156;limpo2.log;limpo2;limpo;213611;1112
1641343861.56241297722;10.1.1.1;10.2.1.1;59;500;54321;1234;144;0;1641343861.53794908524;0.02446389198;limpo2.log;limpo2;limpo;213611;1112
1641343861.60575604439;10.1.1.1;10.2.1.1;59;500;54321;1234;145;0;1641343861.57409310341;0.03166294098;limpo2.log;limpo2;limpo;213611;1112
1641343861.64466094971;10.1.1.1;10.2.1.1;59;500;54321;1234;146;0;1641343861.61409711838;0.03056383133;limpo2.log;limpo2;limpo;213611;1112
1641343861.67958307266;10.1.1.1;10.2.1.1;59;500;54321;1234;147;0;1641343861.64980506897;0.02977800369;limpo2.log;limpo2;limpo;213611;1112
1641343861.70923495293;10.1.1.1;10.2.1.1;59;500;54321;1234;148;0;1641343861.68539309502;0.02384185791;limpo2.log;limpo2;limpo;213611;1112
1641343861.74543190002;10.1.1.1;10.2.1.1;59;500;54321;1234;149;0;1641343861.71802210808;0.02740979195;limpo2.log;limpo2;limpo;213611;1112
1641343861.78149294853;10.1.1.1;10.2.1.1;59;500;54321;1234;150;0;1641343861.75239896774;0.02909398079;limpo2.log;limpo2;limpo;213611;1112
1641343861.81863689423;10.1.1.1;10.2.1.1;59;500;54321;1234;151;0;1641343861.78996300697;0.02867388725;limpo2.log;limpo2;limpo;213611;1112
1641343861.85089993477;10.1.1.1;10.2.1.1;59;500;54321;1234;152;0;1641343861.82578611374;0.02511382103;limpo2.log;limpo2;limpo;213611;1112
1641343861.91132402420;10.1.1.1;10.2.1.1;59;500;54321;1234;153;0;1641343861.87418198586;0.03714203835;limpo2.log;limpo2;limpo;213611;1112
1641343861.95992588997;10.1.1.1;10.2.1.1;59;500;54321;1234;154;0;1641343861.92707395554;0.03285193443;limpo2.log;limpo2;limpo;213611;1112
1641343861.99667191505;10.1.1.1;10.2.1.1;59;500;54321;1234;155;0;1641343861.96591496468;0.03075695038;limpo2.log;limpo2;limpo;213611;1112
1641343862.03454089165;10.1.1.1;10.2.1.1;59;500;54321;1234;156;0;1641343862.00587606430;0.02866482735;limpo2.log;limpo2;limpo;213611;1112
1641343862.06972002983;10.1.1.1;10.2.1.1;59;500;54321;1234;157;0;1641343862.04179501534;0.02792501450;limpo2.log;limpo2;limpo;213611;1112
1641343862.10508608818;10.1.1.1;10.2.1.1;59;500;54321;1234;158;0;1641343862.08208703995;0.02299904823;limpo2.log;limpo2;limpo;213611;1112
1641343862.13777899742;10.1.1.1;10.2.1.1;59;500;54321;1234;159;0;1641343862.11371397972;0.02406501770;limpo2.log;limpo2;limpo;213611;1112
1641343862.17306995392;10.1.1.1;10.2.1.1;59;500;54321;1234;160;0;1641343862.14602088928;0.02704906464;limpo2.log;limpo2;limpo;213611;1112
1641343862.21368789673;10.1.1.1;10.2.1.1;59;500;54321;1234;161;0;1641343862.18197798729;0.03170990944;limpo2.log;limpo2;limpo;213611;1112
1641343862.25582003593;10.1.1.1;10.2.1.1;59;500;54321;1234;162;0;1641343862.23369598389;0.02212405205;limpo2.log;limpo2;limpo;213611;1112
1641343862.29731297493;10.1.1.1;10.2.1.1;59;500;54321;1234;163;0;1641343862.25820803642;0.03910493851;limpo2.log;limpo2;limpo;213611;1112
1641343862.33763289452;10.1.1.1;10.2.1.1;59;500;54321;1234;164;0;1641343862.30572700500;0.03190588951;limpo2.log;limpo2;limpo;213611;1112
1641343862.37301707268;10.1.1.1;10.2.1.1;59;500;54321;1234;165;0;1641343862.33864998817;0.03436708450;limpo2.log;limpo2;limpo;213611;1112
1641343862.40552091599;10.1.1.1;10.2.1.1;59;500;54321;1234;166;0;1641343862.37757992744;0.02794098854;limpo2.log;limpo2;limpo;213611;1112
1641343862.46127891541;10.1.1.1;10.2.1.1;59;500;54321;1234;167;0;1641343862.42660188675;0.03467702866;limpo2.log;limpo2;limpo;213611;1112
1641343862.51587605476;10.1.1.1;10.2.1.1;59;500;54321;1234;168;0;1641343862.46650290489;0.04937314987;limpo2.log;limpo2;limpo;213611;1112
1641343862.58740711212;10.1.1.1;10.2.1.1;59;500;54321;1234;169;0;1641343862.52208900452;0.06531810760;limpo2.log;limpo2;limpo;213611;1112
1641343862.62529706955;10.1.1.1;10.2.1.1;59;500;54321;1234;170;0;1641343862.59082698822;0.03447008133;limpo2.log;limpo2;limpo;213611;1112
