Time;IP_SRC;IP_DST;IP_TTL;IP_LEN;TCP_SPORT;TCP_DPORT;TCP_SEQ;TCP_ACK;TIME_ORIGEM;TIME_DELTA;ARQUIVO;TESTE;ALGORITMO;LOTE;log
1641034644.90266895294;10.1.1.1;10.2.1.1;59;500;54321;1234;144;0;1641034644.87840008736;0.02426886559;rotor3.log;rotor3;rotor;281164;1112
1641034644.93680095673;10.1.1.1;10.2.1.1;59;500;54321;1234;145;0;1641034644.90589809418;0.03090286255;rotor3.log;rotor3;rotor;281164;1112
1641034644.97567796707;10.1.1.1;10.2.1.1;59;500;54321;1234;146;0;1641034644.93438601494;0.04129195213;rotor3.log;rotor3;rotor;281164;1112
1641034645.00781989098;10.1.1.1;10.2.1.1;59;500;54321;1234;147;0;1641034644.97826194763;0.02955794334;rotor3.log;rotor3;rotor;281164;1112
1641034645.04211497307;10.1.1.1;10.2.1.1;59;500;54321;1234;148;0;1641034645.00984597206;0.03226900101;rotor3.log;rotor3;rotor;281164;1112
1641034645.08601903915;10.1.1.1;10.2.1.1;59;500;54321;1234;149;0;1641034645.04608798027;0.03993105888;rotor3.log;rotor3;rotor;281164;1112
1641034645.12791800499;10.1.1.1;10.2.1.1;59;500;54321;1234;150;0;1641034645.08640503883;0.04151296616;rotor3.log;rotor3;rotor;281164;1112
1641034645.16286802292;10.1.1.1;10.2.1.1;59;500;54321;1234;151;0;1641034645.12982606888;0.03304195404;rotor3.log;rotor3;rotor;281164;1112
1641034645.19896292686;10.1.1.1;10.2.1.1;59;500;54321;1234;152;0;1641034645.17030501366;0.02865791321;rotor3.log;rotor3;rotor;281164;1112
1641034645.22954702377;10.1.1.1;10.2.1.1;59;500;54321;1234;153;0;1641034645.20232892036;0.02721810341;rotor3.log;rotor3;rotor;281164;1112
1641034645.26227498055;10.1.1.1;10.2.1.1;59;500;54321;1234;154;0;1641034645.23414993286;0.02812504768;rotor3.log;rotor3;rotor;281164;1112
1641034645.29385209084;10.1.1.1;10.2.1.1;59;500;54321;1234;155;0;1641034645.26569795609;0.02815413475;rotor3.log;rotor3;rotor;281164;1112
1641034645.32686090469;10.1.1.1;10.2.1.1;59;500;54321;1234;156;0;1641034645.29824590683;0.02861499786;rotor3.log;rotor3;rotor;281164;1112
1641034645.36774992943;10.1.1.1;10.2.1.1;59;500;54321;1234;157;0;1641034645.33007693291;0.03767299652;rotor3.log;rotor3;rotor;281164;1112
1641034645.40806508064;10.1.1.1;10.2.1.1;59;500;54321;1234;158;0;1641034645.38242697716;0.02563810349;rotor3.log;rotor3;rotor;281164;1112
1641034645.43880105019;10.1.1.1;10.2.1.1;59;500;54321;1234;159;0;1641034645.41005492210;0.02874612808;rotor3.log;rotor3;rotor;281164;1112
1641034645.47026896477;10.1.1.1;10.2.1.1;59;500;54321;1234;160;0;1641034645.44231605530;0.02795290947;rotor3.log;rotor3;rotor;281164;1112
1641034645.50363492966;10.1.1.1;10.2.1.1;59;500;54321;1234;161;0;1641034645.47402191162;0.02961301804;rotor3.log;rotor3;rotor;281164;1112
1641034645.53584694862;10.1.1.1;10.2.1.1;59;500;54321;1234;162;0;1641034645.50582909584;0.03001785278;rotor3.log;rotor3;rotor;281164;1112
1641034645.56653809547;10.1.1.1;10.2.1.1;59;500;54321;1234;163;0;1641034645.53784298897;0.02869510651;rotor3.log;rotor3;rotor;281164;1112
1641034645.60258507729;10.1.1.1;10.2.1.1;59;500;54321;1234;164;0;1641034645.56969189644;0.03289318085;rotor3.log;rotor3;rotor;281164;1112
1641034645.63443303108;10.1.1.1;10.2.1.1;59;500;54321;1234;165;0;1641034645.60566592216;0.02876710892;rotor3.log;rotor3;rotor;281164;1112
1641034645.66618609428;10.1.1.1;10.2.1.1;59;500;54321;1234;166;0;1641034645.63776111603;0.02842497826;rotor3.log;rotor3;rotor;281164;1112
1641034645.69871091843;10.1.1.1;10.2.1.1;59;500;54321;1234;167;0;1641034645.67006611824;0.02864480019;rotor3.log;rotor3;rotor;281164;1112
1641034645.73485708237;10.1.1.1;10.2.1.1;59;500;54321;1234;168;0;1641034645.70167303085;0.03318405151;rotor3.log;rotor3;rotor;281164;1112
1641034645.76978111267;10.1.1.1;10.2.1.1;59;500;54321;1234;169;0;1641034645.73805689812;0.03172421455;rotor3.log;rotor3;rotor;281164;1112
1641034645.80289506912;10.1.1.1;10.2.1.1;59;500;54321;1234;170;0;1641034645.77815699577;0.02473807335;rotor3.log;rotor3;rotor;281164;1112
